,weekday,time,consumption_kwh,consumption_kw
223,Saturday,07:45:00,1.071923076923077,4.287692307692308
224,Saturday,08:00:00,1.0415384615384615,4.166153846153846
225,Saturday,08:15:00,1.1323076923076925,4.52923076923077
226,Saturday,08:30:00,1.1128846153846153,4.451538461538461
227,Saturday,08:45:00,1.1476923076923078,4.590769230769231
228,Saturday,09:00:00,1.0459615384615384,4.1838461538461535
229,Saturday,09:15:00,1.1598076923076923,4.639230769230769
230,Saturday,09:30:00,1.2371153846153846,4.9484615384615385
231,Saturday,09:45:00,1.2334615384615384,4.9338461538461535
232,Saturday,10:00:00,1.2203846153846154,4.881538461538462
233,Saturday,10:15:00,1.1688461538461539,4.6753846153846155
234,Saturday,10:30:00,1.096923076923077,4.387692307692308
235,Saturday,10:45:00,1.0782692307692308,4.313076923076923
236,Saturday,11:00:00,1.0780769230769232,4.312307692307693
237,Saturday,11:15:00,1.1390384615384614,4.556153846153846
238,Saturday,11:30:00,1.080576923076923,4.322307692307692
239,Saturday,11:45:00,1.0176923076923077,4.070769230769231
240,Saturday,12:00:00,1.0069230769230768,4.027692307692307
241,Saturday,12:15:00,1.0253846153846153,4.101538461538461
242,Saturday,12:30:00,0.9051923076923077,3.620769230769231
243,Saturday,12:45:00,1.0276923076923077,4.110769230769231
244,Saturday,13:00:00,0.9294230769230769,3.7176923076923076
245,Saturday,13:15:00,0.9803846153846153,3.921538461538461
246,Saturday,13:30:00,1.0296153846153846,4.118461538461538
247,Saturday,13:45:00,0.9590384615384615,3.836153846153846
248,Saturday,14:00:00,0.9867307692307693,3.946923076923077
249,Saturday,14:15:00,1.0667307692307693,4.266923076923077
250,Saturday,14:30:00,1.1492307692307693,4.596923076923077
251,Saturday,14:45:00,1.0896153846153847,4.358461538461539
252,Saturday,15:00:00,1.0523076923076924,4.2092307692307696
253,Saturday,15:15:00,1.060576923076923,4.242307692307692
254,Saturday,15:30:00,1.0278846153846155,4.111538461538462
255,Saturday,15:45:00,1.0244230769230769,4.0976923076923075
256,Saturday,16:00:00,1.0328846153846154,4.131538461538462
257,Saturday,16:15:00,1.0551923076923075,4.22076923076923
258,Saturday,16:30:00,0.9876923076923076,3.9507692307692306
259,Saturday,16:45:00,1.0359615384615384,4.1438461538461535
260,Saturday,17:00:00,1.0640384615384615,4.256153846153846
261,Saturday,17:15:00,1.1498076923076923,4.599230769230769
262,Saturday,17:30:00,1.1276923076923078,4.510769230769231
263,Saturday,17:45:00,1.0686538461538462,4.274615384615385
264,Saturday,18:00:00,1.1309615384615386,4.523846153846154
265,Saturday,18:15:00,1.1301923076923077,4.520769230769231
266,Saturday,18:30:00,1.0440384615384615,4.176153846153846
267,Saturday,18:45:00,1.0873076923076923,4.349230769230769
268,Saturday,19:00:00,1.1903846153846154,4.7615384615384615
269,Saturday,19:15:00,1.175576923076923,4.702307692307692
270,Saturday,19:30:00,1.1196153846153847,4.478461538461539
271,Saturday,19:45:00,1.1613461538461538,4.645384615384615
272,Saturday,20:00:00,1.1648076923076922,4.659230769230769
273,Saturday,20:15:00,1.1590384615384617,4.636153846153847
274,Saturday,20:30:00,1.058846153846154,4.235384615384616
275,Saturday,20:45:00,1.0226923076923078,4.090769230769231
276,Saturday,21:00:00,1.0375,4.15
